,full_text
21012,"YASIN MALIK-LED JKLF BANNED 
BY #Modi Government Under Anti-Terror Law ....
PM @narendramodi is Cracking Down On Separatist Like Never Before !!

#ModiOnceMore
       #ModiHaiToMumkinHai https://t.co/JefF84z2rk"
21013,"The response is overwhelming!

Everybody we met is saying they will definitely vote for Modi and campaign for Modi 

#ModiFor2019 https://t.co/hu1VBMos1U"
21015,"Bhakts mocking Congress after Sapna Chaudhary joins INC 

are the Same bhkts who were mute When BJP gave ticket to NIAHALCHAND

Bhakts are happy with Rapist bt not with a Actor/Dancer.

PS: Hema malini,  Manoj tiwari, Rajiv kishan all are Scientist."
21017,"Is this Tharoor's way of asking Modi to contest against him, so that when he is defeated, it can be explained away as Modi defeating him? It is likely that Kummanam will defeat him this time. It is, after all, more disgraceful to be crushed by Kummanam. https://t.co/BJKK7IcQGr"
21018,"After Shock of #Elections2019 
1. Chidambaram Family
2. Lalu Family 
3. Miya Patel
4. Pawar Family 
5. Stalin Family 
6. Queen 
7. Pappu 
8. Damaad 
9. DK Shivakumar
10. Mallikarjuna Kharge
11. Pinarayi Vijayan
12. A. Raja
13. Maran Brothers.
These are the people going to Prison"
21021,"1.Match fixer and banned for life Time from cricket @azharflicks joined @INCIndia 

2. @GautamGambhir who always stands for country, carrying responsibilities of Martyrs' children joined @BJP4India

Media went silent on Azharuddin but criticizing Gambhir
 #BhaagRahulBhaag"
21027,"Top @BJP4Karnataka leader @nimmasuresh seeks arrest of @INCIndia spokesperson @rssurjewala 

#LokSabhaElections2019 

https://t.co/upWseQQxXO"
21028,@iMac_too 1st wicket gone.... Pratik patil ex minister and son of Vasant dada Patil  resigned from congress (Sangli)
21032,"India has strict gun laws, 

Still Islamists in Kashmir can source 250 Kg RDX &amp; 1000's of AK-47 at will. 

Still Islamists in India could pull of 50+ bomb blasts duing UPA.

Still Islamists in Malda are testing bombs.

We have many Burhan Wani's in India. All of them have guns. https://t.co/vfijPrNrO5"
21037,"Awww, I am sure @narendramodi is SO scared right now!! https://t.co/NFlN6ZmMgj"
21040,"#RememberMeWhenYouVote Samrath Kumawat, 42, three bike-borne youngsters attacked Kumawat with a sword on his neck and then fired three bullets at him in Kadiyawad village, and then fled the spot. This was After Congress came to power in Rajasthan. (I can't even show his photo.) https://t.co/gzda4x7ua5"
21044,"#RememberMeWhenYouVote Chhatrapal Singh Rawat, a BJP worker from Madhya Pradesh, was found murdered in Gwalior. Another BJP office-bearer, Magan Siddiqui was seriously injured after he was reportedly attacked in Jabalpur. https://t.co/hhCixhxqxP"
21050,"@adarpe There are however, quite a few members of Congress that are divisive, racist, and hate filled, that have no place in public office, BUT! Someone elected them knowing full- well!?!"
21051,Well for haters : Digvijaya Singh is the next home minister of India if it is a UPA government.
21052,"Rahul is afraid as he fights election 2019. He wants a safe seat so goes south. Pawar is afraid so he won't fight, Mayavati won't fight too. Mamta refuses. Lalu is barred from contesting. 
But they all want to defeat Modi.

#Tumsenahopayega.
#MainBhiChowkidar"
21053,"To any incoming UCLA bruins who are of color, low income, or any other marginalized identity: please look into the Academic Advancement Program (AAP) and their services. This institution praises diversity, but never helps to sustain the graduating rates of marginalized students. https://t.co/ijD6RnC0QO"
21055,"After Adityanath led BJP govt came in to power in UP, as per UP govtâ€™s own data, Rape increased by 26%, assault on women by 40%, kidnapping of women by 35% &amp; harassment of women by 99%.
#ChowkidarSeMahilaKoBachao https://t.co/LR74s4U4zP"
21059,"India is a natural home to all persecuted Hindus, Sikhs, Jains in the world whichever country they live in!
There is no other land for them
We desperately need a permanent citizenship bill for them ,,or else we will lose them to abrahmic brutalities
@SushmaSwaraj @narendramodi https://t.co/XwM6rJSdON"
21060,"@ANI PAPPU , his guru Satyanarayan Gangaram Pitroda &amp; all the SHAMELESS CONGI JOKERS who want PROOFS should watch this &amp; should be sent to Akhnoor &amp; make them count the number of deadbodies of the PAKISTANI TERRORISTS."
21064,"The NCRB statistics exposed the reality of so called pro-women BJP govt. The figures indicate over 8.7% increase in the crimes against women between 2014 &amp; 2016.
#ChowkidarSeMahilaKoBachao"
21068,"Madhya Pradesh has rejected BJP recently, but has not forgotten Vyapam, Mandsaur, Farm distress &amp; multiple scams 

Maharashtra should reject BJP because they betrayed their farmers during drought. Farm suicides rampant 

5/"
21073,"@Shudraism There are more facets to this than merely Modi. Modi is a leader of his time, he is a violent leader in times of intolerance. Will his going change the times? Highly unlikely. The right extremism is on rise not only in India but globally. People are not tired of Modiâ€™s hatred 1/n"
21076,"@RajRockstaar @rsrobin1 @Geeta_Mohan @ImranKhanPTI @fawadchaudhry @SushmaSwaraj @narendramodi They brought Citizenship ammendment bill, but congress blocked in rajyasabha"
21084,@brandonbuffard @Davinde14684961 @BhavikaKapoor5 @rukmi86 @viruztweet @Suryamariappa @BJP4India @arunjaitley @INCIndia @narendramodi @RahulGandhi @ArvindKejriwal @ncbn @ShashiTharoor @madhukishwar @BDUTT I have a question to you brother. Why is Amethi the most underdeveloped city in India after 4 decades of congress rule? Donâ€™t disappear now...
21090,"Who the fuck is he to disrespect a profession? Had she been in BJP, she would've been a role model of some sort right? https://t.co/FX1Bm82BBQ"
21093,"@SethAMandel @0ryuge There's a word or two for this lady I sure would like to use, boy howdy would I ever love to, but, of course, I don't talk or write like that so all I can say is what in the world is this lamebrain doing in Congress, she's a freaking witch."
21100,"Omg this is scary. 

AAP worker beating a poor man mercilessly ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢

Shame on @ArvindKejriwal https://t.co/Z6gQicU0cA"
21101,"@RealSaavedra THROW THIS VILE WITCH OUT OF O-U-R CONGRESS!
VOTE HER THE HELL OUT! OR BETTER YET-- IMPEACH HER! https://t.co/0q0nV9AuaJ"
21102,@narendramodi I am an IT professional and I would never vote an illiterate like Modi
21104,"When was the last time you worked on a resolution asking Congress to do this
#PubliclyFundedElection will always be under the confines of #CitizensUnited.
#Disclosure does not solve the problem. 
Do you actually want to solve the problem or not? https://t.co/wtX4uYD4wo"
21117,General election 2019 live | Priyanka attacks UP govt. over unpaid dues of sugarcane farmers https://t.co/AjDyaGx18X
21118,"@Aban__Ind @TheBongHead @dsuditya @chowkidar_raha @abishekbagchi @simhavadana23 @Pritam84395409 @goonereol @Bhaktirassagar @UnSubtleDesi @ExSecular 3. The CBI hardly made any movement on the issue of Sarada chit fund case or &amp; Narada sting op in the last 4 Yrs. In fact the owner of Narada was interrogated &amp; harassed by CBI on their funding. All BJP did was use CBI once in a blue moon, on this issue, for minor political gains"
21119,"@RajeshK38269880 @sanjaygobind Fully agree with you Sir !
These are the Parties, without any Agendas !

We Support PM Narendra Bhai Modi !

Jai Hind Vande Mataram ! https://t.co/CRKhnV8gbc"
21120,Awww!! Advani pe bhi kuch bolo Dada.. ðŸ˜‚ ðŸ˜‚ BJP didn't bother to give a dignified farewell. Tch Tch.. https://t.co/n57mF1xM7C
21123,"You know he's even got that look, pedophile no surprise, that should be means to remove him from Congress! We have got to start expecting some standards from these bastards. https://t.co/P2RJPH4nMs"
21125,"Arundhati Roy: Modi â€œrecklessâ€ in Kashmir, â€œIf you look at the games that have been played, the false flag attacks, the trail of deaths, of murders, of lynchings, you see fascismâ€
https://t.co/CQIPt3Dioq"
21128,@brianstelter @LauraAJarrett Just release the entire thing to congress ffs. No â€œsummaryâ€ needed.
21131,"Gagging clauses were supposedly banned from the #NHS in 2013. But @SueAllison809's case shows they're still being used to silence and marginalise health service staff. In 9 days, @JahadRahman1 will be challenging the #NDA she claims she was forced to sign https://t.co/4SvIlusUmS"
21132,Congress Blocked Fund Release To Anti-Sikh Riot Victims: Rajnath Singh https://t.co/VzHfBlc0L2
21137,"@davidhogg111 @Annimallover As long as the gun lobby controls the Congress, the slaughter of innocents will continue unabated!"
21144,"@KapilSibal You must be knowing when you coined Saffron Terror to save Pakistani terrorists.
Wasn't that a conspiracy against Hindus by UPA to encourage lsIamic terrorists promoted by Pakistan?"
21145,I'm trying to think about how you could not interpret that to mean this but my thoughts run dry. It seems like a direct attack on the new left in congress. https://t.co/VGfbmtQ28g
21151,"BREAKING | AIMIMâ€™s Asaduddin Owaisi targets PM Narendra Modi, launches â€˜beef-biryani attackâ€™ over Pulwama carnage. Owaisi asks, â€˜Did he (PM Modi) eat beef biryani and sleep?â€™ | @Shehzad_Ind with his view on the matter. | #May23WithTimesNow https://t.co/dd8UPlCiEz"
21154,"Bhakts get rattled if anyone talks about Rights of PM Modi's abandoned Wife .. 
Do they care about the Language used by BJP Leaders ? 
I m no Sympathizer of Congress 
But I Condemn such Cheap Level Politics by so called Sanskari BJP https://t.co/YXMS9iVMqU"
21156,"Hello frauds at @INCIndia, you should have googled her age atleast. She is not 23 but 28.
#CongressKaSapnaTuta ðŸ˜‚ðŸ˜‚ https://t.co/nWFgcALbjL"
21157,@Tweetsey @estate1 @CocaCola @CDCgov Asking Congress to investigate collusion is like asking a robber to watch your money!
21159,"@fawadchaudhry Despised Fasad miya
Here is a video of Hindus who have fled Naya Pakistan in recent time. Living in poor condition but still happy as they feel safe 

I challange you to show me one person who has fled India under @narendramodi or any previous Indian Govt
https://t.co/8vpmeVXlu3"
21162,Congress - JDS have messed up big in Karnataka. Wrong choice of candidates. Clear advantage BJP across the state is a general feeling.
21163,"Dotn vote for BJP, it makes minorities insecure.
ME: but what about Gazwa E Hind and Paks threats to invade us
How many times has Pak invaded us in last 70 years
ME: 1947,1965,1972,1998 and ...
No they didnt happen only gujrat riots happend #RememberMeWhenYouVote BS ðŸ¤¦â€â™€ï¸"
21167,Bihar Woman Allegedly Applies Glue On Son's Lips To Stop Him From Crying - NDTV https://t.co/EBKCE7tBcU #AuratonSeBachao @PMOIndia @narendramodi
21168,Any advice to those who spread this news as communal violence and accused NaMo of hate politics. https://t.co/73MY9ouGgb
21170,"Make in India

When PM Modi came to power in May 2014, manufacturing was at an all-time low at around 14 percent of the GDP. The land acquisition norms made it difficult to set up new factories.

#DhoondoRe https://t.co/cRT68Qh9k0"
21173,@SaraCarterDC @RepAdamSchiff I just realized - the next 2 yrs in congress - nothing but Subpoenas to everyone and anyone to testify before congress - why are we paying these idiots - they are useless
21174,"Jinka vansh nahi woh kya karenge? : Ghulam Nabi Azad. 

PM Modi writes one blog highlighting how dynastic politics has undermined democracy and its institutions in India and Congress leaders start hurling disgusting personal abuses at him and his family lineage! https://t.co/C9wKgS3lWz"
21176,"I stopped voting for the Congress after 1984, but this is an unusual election. Anyone who asks this silly question -  what is the alternative - shows they have not understood the threat to the country if BJP continues. The country and the Constitution are an alternative https://t.co/1DsneWuKuD"
21178,"What if #SapnaChaudhary Ji is a distraction that ensnared RW twitterutty, whereas Congress is doing a surgical strike elsewhere!? ðŸ˜³"
21181,"With Balakot strike, Modi has exposed both Pak &amp; China...

Pakistan for the first time realised both the limitations of its own ability to â€˜steal and copyâ€™ and the effectiveness of Chinese technology, and so did their Chinese overlords...  https://t.co/Izettu006A"
21184,"Folks, BJP's candidate from Dindori, Nashik - Bharati Pawar.

Just a few days back , when she was in NCP ðŸ˜‚ðŸ˜‚ðŸ˜‚

For non-marathi folks - she's saying Modi has destroyed farmers &amp; has brought unemployment.

ðŸ˜‚ðŸ˜‚ðŸ˜‚ https://t.co/mgc8q9HCau"
21199,"Congress partyâ€™s sharp and scathing rebuttal to Jaitleyâ€™s incessant rants on dynasty and ideology. 

Do read https://t.co/eWwVHKER8Y"
21201,"So a future member of Congress took courses in college learning the theories and methods of terrorists...proving she has an education?

That is why she is there.
 
Those who do not understand what they are fighting, are never going to win.
 
Ask a teacher!
https://t.co/IHDn935McH"
21205,"Murder accused BJP President Amit Shah's rally in Agra:

Chairs booked : 1,00,000
Total Turnout   : 1,000 + One Cow

ðŸ˜‚ðŸ˜‚ðŸ˜‚ #BJP420Party

https://t.co/JFv4G5kc5f"
21207,"@RealMAGASteve @Ilhan Why was she ever placed in congress, this opens the gates of HELL! She really has a hidden agenda! Let's stop her, NOW!!!!"
21211,"Offensive Comments, Harassment &amp; Online Smear Campaigns against Women is the bread &amp; butter of the BJP IT Cell! 

Misogyny is engrained in the DNA of certain people! 

@NayakRagini took the right step by complaining and now we expect @DelhiPolice to act on it ! https://t.co/E7t6IPXscx"
21212,Ashok Swain wrote this piece three years ago about how the Modi government in India is rearing Hindutva terrorists who will soon pose a great national security threat to the country. He says Modi's India is... https://t.co/IhkjnDtV1I
21214,@Jayati1609 @kanhaiyakumar @jigneshmevani80 I am against BJP but can't support Anti-nationals. Straight.
21223,"BlackMoney did not come back, terrorism increased, counterfeit currency is still in circulation &amp; we are not a cashless economy every goal of demonetisation failed. Watch the people of India call out Modi's biggest scam till date

#DemonetisationYaadRakhna https://t.co/nHRRZgKT9Y"
21225,"BJP re-mominates rape-accused Nihal Chand Chauhan, who was promptly made a minister by fake Chowkidar even in 2014 
#ChowkidarSeMahilaKoBachao
#BJPSeBetiBachao 

#BJP_à¤­à¤—à¤¾à¤“_à¤¦à¥‡à¤¶_à¤¬à¤šà¤¾à¤“

#ChowkidarChorHai
#ChowkidaarNahiJawabdarChahiye

https://t.co/D6oPprxabl"
21227,"What has turned the sentiment pro-Modi---
1.Only Modi   can take hard stand against terrorism and Pakistan
2.Modi is non-corrupt and has tackled high level corruption
3.India's international image has improved under Modi
4.Modi has taken strong measures to curb black money.ðŸ‘‡"
21230,"JUST IN

Mr Basil Ekka will be the only Lok Sabha Candidate for AAP from Odisha.

He will be fighting election from Sundargarh LS Constituency.

#Vote4AAP"
21231,"Modi shamelessly exploits armed forces for his electoral gains, and this so-called Hindu-nationalist fights armed forces tooth and nail in Supreme Court for a mere Rs 269 crore. https://t.co/PpzAIsn22f"
21233,@uttammsaha @BJP4India @INCIndia @rajeevmysore @CBAhetesham @SureshChavhanke @KapilMishra_IND Chawkidar is aware of the issues #men are facing but dey are scared facing #un #feminist #oppositionparty &amp; they want to keep all common men this way so that we don't disturb their political position. They want common men to face issue so that we are not obstacles for their power
21235,"LK Advani \Extremely Upset\"" With BJP Over Gandhinagar Snub, Say Sources"
21240,"#RememberMeWhenYouVote Balwadi BJP leader Manoj Thackeray has been found dead in a field in Barwani, MP, in Warla police station limits. He had gone for a morning walk today. https://t.co/zajIFm472J"
21241,"Complaint to be filed by state BJP against Congress leaders for the fake dairy!

Good step. This whole fiasco has turned upside down! https://t.co/bRq0eoKWKH"
21245,"4 minor Hindu girls abducted in Pakistan and made yet another Beghums of Peaceful men - against their wishes.

Waiting for outrage from so called Secular Intellectuals who cried buckets of tears for fake rape-murder of Asifa and called shame on BJP - for no reason."
21247,"ENSURE A PEACEFUL AND SECURE ENVIRONMENTâ€™

The BJP manifesto promised to â€œensure a peaceful and secure environment, where there is no place for either the perpetrators or exploiters of fear.
 #DhoondoRe"
21252,"Himachal should reject BJP because no development work has been done, no respite for hills 

J&amp;K should reject BJP because it plunged the state to deep turmoil 

Jharkhand should reject BJP because of rampant corruption, no development and only PR 

#LokSabhaElections2019"
21253,"ðŸš¨The REAL national emergencyðŸš¨ 
âž¡ï¸ lax federal gun laws
âž¡ï¸ members of Congress beholden to the gun lobby
âž¡ï¸ the appalling number of kids shot each year 
âž¡ï¸ the inadequate (or absence of) mental health services in schools
We are failing our kids.
@AMarch4OurLives @MomsDemand https://t.co/l7CffdgAg8"
21259,"@smitaprakash Go to 24 akbar road , everyone say pappu destroying   congress party."
21260,Chandan Mitra was in BJP for long time before joining TMC. Mukul Roy was in TMC for long time before joining BJP. Chandan Mitraâ€™s present party &amp; Mukul Royâ€™s former party attacks Left in Bengal. Mukul Royâ€™s present party &amp; Chandan Mitraâ€™s former party attacks Left in Tripura.
21261,"ENSURE A PEACEFUL AND SECURE ENVIRONMENTâ€™

The BJP manifesto promised to â€œensure a peaceful and secure environment, where there is no place for either the perpetrators or exploiters of fear.
#DhoondoRe https://t.co/jYuLqt9bUA"
21263,"#à²¨à³€à²µà³_à²¬à²‚à²¦à³à²°à³†_28à²•à³à²•à³†28
How Modi changed Indiaâ€™s strategic fortunes - From being questioned before getting elected to show how foreign  policy will be his weak spot to this.
https://t.co/ifoKztjWbn"
21268,"As the first time voter #YOUTH for #LokSabhaElections2019 

I seriously wanted to vote for modi ji 
Not bcz i support BJP but bcz if we can give 60+ yrs to a party then wht's wrong in giving 5 more yr another party!

Vote for them and then judge for 10yr+

#VoteKar"
21279,"Rafale files have been missing from the Defence Ministry, and the Chowkidar is defending his corruption without any proofs.
#DhoondoRe"
21280,Do you think that Modi is a serial killer &amp; mass murderer? https://t.co/v0E0HMY2vJ
21283,"IIM study destroys Rahul Gandhi's propaganda on joblessness. Study claims 15 million jobs added every year.
Now will Rahul target IIM too?
 https://t.co/o76dqHxOXM"
21287,"Elxn in 3 weeks and all BJP speaks of is Pakistan, Balakot, terrorism, Pulwama. Because there is nothing to show of 5 wasted yrs. India will never forgive you for betraying its mandate. Karma is arriving at your doorstep soon."
21291,"After miserably failing to isolate #Pakistan at international level, Modi decided to isolate Pakistan High Commission staff in New Delhi and fail miserably again."
21292,"Kejriwal is desperate. Today he openly begged Rahul Gandhi to reconsider his decision of not having alliance with AAP for 2019.

Mahagathbandhan fake WhatsApp group chat screenshots : https://t.co/JKbyoEsdup"
21293,Agree we need to Investigate how a moron like @AOC @RepAOC was elected to Congress! https://t.co/wK7aMHihyl
21294,RSS could have been banned soon after independence but didnâ€™t do. It was a mistake by #Congress only and now nation is suffering from the same. https://t.co/vGqhW6xCBK
21299,"Veteran of party BK Hariprasad Congress candidate from Bengaluru South. He had lost to Ananthkumar by 65,000 votes in 1999."
21305,"@Cruellaisdevine @GeorgeTakei Itâ€™s not only Pence itâ€™s every Republican who quietly passed bills in the dead of night paying themselves from our tax money while the public was distracted with: healthcare, Kavanaugh nomination, Family Separation. Each time Republican Congress paid themselves for years to come."
21307,When Local TMC boys fail to convince a couple in Bardhaman to switch side from BJP resorted physical violence. https://t.co/CnNUjicb0S
21314,"Mr Basil Ekka will be the only LokSabha Candidate for AAP from Odisha.

He will be fighting election from Sundargarh LS Constituency."
21324,"@ANI .Powerless BJP! It doesn't have the guts to take on Mamata Banerjee &amp; her goons. So many BJP karyakartas were killed by TMC cadres, what did the BJP govt do? The seeking of CBI probe into airport fiasco reeks of absolute helplessness &amp; hypocrisy of the party. Shame!"
21331,@TornilloWitness EASY advocacy: here's a sample email to copy/paste to your members of Congress. We need to speak up for these kids! Even short emails/calls are effective: I oppose family separation OR I want the Homestead migrant prison closed. https://t.co/okJGDP2iI5
21334,"@IndiaToday The real face of BJP.
Beware of all fake election chowkidar's
@porinju the reason I don't want to vote for BJP"
21335,Imagine editing Modi's picture in an image like that... You'd be dead or in jail by now. https://t.co/BfJFm1Odnt
21342,"Modi biopic film maker was accused of sexually exploiting a minor in Mauritius 
https://t.co/cq2A3vUUgs"
21343,"Campiagn rolls on at Dumdum LS Constituency in support of LF nominated CPIM candidate Comrade Nepaldeb Bhattachrya. Defeat BJP-TMC, elect Left and ensure Secular Govt at the Centre. #Vote4Left
#LokSabhaElection2019 https://t.co/Lo4L5wsgjo"
21346,"@sifchandigarh @BJP4India @INCIndia @narendramodi @AmitShah @RahulGandhi @Manekagandhibjp @RSSorg @AamAadmiParty Married in 2013 , and cases running since 2014.... After 5 years men is aquitted if this is the way  women laws work  to extort men in such fake cases for several years time to scrap such laws  #NOTA2019 @UN @UNHumanRights #stopabusingmen"
21348,".@IlhanMN to the CAIR audience: â€œThere are very fascinating people outside who for so many years have spoken about an Islam that is oppressive, that lessens and isolates women. And today they gather outside to protest a Muslim woman who is in Congressâ€ https://t.co/QfZ7TonFmI"
21350,"Congress &amp; Gandhiâ€™s made the entrie indian defence system hollow

Their greed for power &amp; their crazy to loot resource of this nation destroyed the entire Internal security of this nation

Congress is like termite, they destroyed the same nation that gave them a identity #VoteKar https://t.co/QbW7NlmbnL"
21351,"@GregNorberg If the electoral college dissappears, then Congress will also have to disappear. Those are the items which make our Country a republic. We are not a democracy people."
21354,@CongressSparta1 @Suryamariappa @rukmi86 @Davinde14684961 @BhavikaKapoor5 @viruztweet @BJP4India @arunjaitley @INCIndia @narendramodi @RahulGandhi @ArvindKejriwal @ncbn @ShashiTharoor @madhukishwar @BDUTT @sampitroda @priyankagandhi @nytimes @aajtak @abpnewstv @ZeeNews @htTweets Any one gentleman here- give me straight answer for these 2 qtns- I promise il vote and Iâ€™ll campaign aggressively for@congress. Pappu pe Kasam
21360,@CongressSparta1 @Suryamariappa @Davinde14684961 @rukmi86 @BhavikaKapoor5 @viruztweet @BJP4India @arunjaitley @INCIndia @narendramodi @RahulGandhi @ArvindKejriwal @ncbn @ShashiTharoor @madhukishwar @BDUTT @sampitroda @priyankagandhi @nytimes @aajtak @abpnewstv @ZeeNews @htTweets This is bullshit. Iâ€™m talking about ur proposed PM Pappu bhai who is not man enough to handle 1 constituency. U want him@to handle a country. ? Jokers. Tell me what has pappu done for Amethi. Answer this straight.
21366,Nadler: Congress has to look at a â€œbroader pictureâ€ than just crimes in deciding whether to impeach https://t.co/kV5OIswLuu https://t.co/hf8n99Wken
21369,"Rahul Gandhi supporter of militancy, corruption, and promotes family rule. Most idiot in India. He is to keep poor people poor and help his relatives to earn hefty.Collected lot of wealth. He is on bail."
21378,"As per NCRB Data 2016, the most recent govt data available, 38,947 rapes were reported in 2016 alone! BJP Govt has done absolutely nothing to safeguard the women of the nation.
#ChowkidarSeMahilaKoBachao https://t.co/zZs0Uv4wIw"
21379,"@indiantweeter @narendramodi I don't think people need to check 10 reason to vote for @narendramodi ji because 1 reason that is control on corruption or you can say screws tight for corrupted people is enough to #VoteForModi

#VoteKar"
21381,"Shameless...Why don't they get killed in the attacks...It seems @INCIndia will soon complete to process of getting Pakistani citizenship....Unless Pakistan is destroyed, these people will keep licking their feet...
#destroypakistan 
#FinalStrike 
#CongForPakistan https://t.co/KwEuSFsTZB"
21382,"@sammk1964 @Wyn1745 Oh, yeah those nuns are so dangerous. NOT

They aren't serving in Congress and breaking the headgear law, or screeching antisemitism, supporting CAIR (a terrorist organization) and Hamas (a terrorist organization), or trying to suppress free speech against the crimes of Islam."
21386,"@NorthEast4Modi volunteer team rocks!!!!
Took #TrashChallenge at Tezpur, Assam. 
Hon'ble PM @narendramodi ji, we all are with you in the fight against corruption, loot, scams and dirt. 

Kaun Kaun Chowkidar?
Hum Sab Chowkidar....
#MainBhiChowkidar https://t.co/n8m6BmjMEp"
21389,@MrsGandhi @nitin_gadkari @vilas_muttemwar Frustrated @nitin_gadkari is taking cheap shots after he realized his defeat by @INCIndia @NANA_PATOLE in #LokSabhaElections2019 https://t.co/Fc7IWYcveN
21394,"The 'chowkidar' thought that his brute majority will allow him to carry out a scam right in front of people's eyes. Never thought that he will have to answer about Rafale in court, so conveniently lost the files.
Rafale file #DhoondoRe
https://t.co/CLBvTPWv86"
21398,"This is how BJP-NDA have planned to win elections. They have attempted murder of democracy by removing 20 million women and in all 120 million voters.

Will the ECI ensure all missing voters are given back their right to vote? https://t.co/btugBEJx8N"
21401,"@TrulyMonica I swear I don't let a single person to vote Congress around the town I live ,the 5 villages around my grandfather's house and everyone I know .I'll tell everyone how our hindu brother &amp; sisters are suffering in Pakistan but congress didn't let citizenship amendment bill passed !"
21403,"@Kredo0 Hi, I read your article and was wondering why when you said â€œCongress sought to ban taxpayer fundsâ€ to Islamic Relief you didnâ€™t mention that one member of Congress was behind the amendment and it was actually withdrawn. Seems disingenuous to say that congress â€œsoughtâ€ that.ðŸ˜"
21405,"@narendramodi Sir, Please rescue these tortured Hindu daughters trapped in Pakistan https://t.co/GgOxXt4mMW"
21408,"These guys who are beating innocent ppl up are simply doing what BJP IT cell does on Twitter every day 

No wonder they get so annoyed when New Zealand manages to walk the extra mile to show solidarity with minorities https://t.co/9rbYlBtQAM"
21409,"Conceived in 1974, Kovalam-Kazhakoottam Highway project was stuck for 40yrs.Tharoor was MP from 2009 &amp; Kerala had 8 ministers in centre, but nothing hapnd. it was only after Modi Govt assumed office that work finally started in 2015, after Gadkari tweaked it from BOT to EPC. https://t.co/1vB5PxiBbp"
21411,"@narendramodi 
@rajnathsingh 
@ManojTiwariMP 
@AamAadmiParty 
@LtGovDelhi 
Sir.. plzzzz Delhi guest teachers ki policy bna de anytha  bjp or aap  dono ka election se boycott hoga.
# we want policy https://t.co/h3oEAcalVr"
21413,"Mercury of Thakre dynasty is weak right now, they will develop soft point on BJP and may support BJP by January 2018. https://t.co/b2S5cmq1Yr"
21419,When political leaders fail to create real jobs in a real economy they give handouts to the poor. This has always been the Congress way and the latest promise of a basic minimum income fits the pattern.
21420,"\Bengali intellectuals in Academia/Media never told the true story of Partition &amp; the atrocities committed on Hindus\"" --- if they did they would NOT have remained part of the Anti Hindu Intellectual Establishment &amp; the Media nurtured by the Congress in the 1st case. (1)"""
21421,"But one must not be surprised BJP is opposing NYAY

They are fundamentally against policies which benefit the marginalised &amp; poor

They opposed FDI in retail,nuclear deal

They diluted the Land Act,FSA &amp; FRA legislations

Rather they imposed disastrous demonetisation on the poor"
21423,"Sanjay Nirupam, on being given ticket from Mumbai North-West &amp; Milind Deora being appointed Mumbai Congress chief: I was doubtful if I would've been able to do justice, had I worked while also being Mumbai Congress chief. Congress Pres took intelligent decision &amp; I welcome it. https://t.co/uFJ42SrviB"
21424,"\2 Gujarati Thugs Have Been Fooling People for the last 5 years\"", says seniorðŸ‘‡BJP neta &amp; spokesman in Lucknow, also asking \""Have we got a Pradhan Mantri or Prachar Mantri?\"" "
21427,"Congress' appeasement of minorities has now come to mean insults to HINDUISM. 

Would the Congress say this about any other religion?

#WhyCongHatesHindus https://t.co/Pc3FAT7AGF"
21428,"Crush jaws of those who shout--Modi-Modi, says JDS MLA

Read @ANI story | https://t.co/wAMMLuLiIi https://t.co/GnKVBcbhOO"
21429,"@arunjaitley @nsitharaman Till yesterday BJP asked what Congress has done in last 70 years.
Today BJP realises there is very few poor left in India!!!"
21431,@RahulGandhi Can you explain how Congress bear this whopping expenses. Another scam in pipe line? #RahulForBehtarBharat https://t.co/wUndo2Mefw
21439,I humbly request the 2.3% of Christians in India to stop terrorizing the 79.8% of Hindus via various mysterious methods that the BJP and RSS have identified. Thank you.
21440,#Opinion Is the Congress Party Now Paying the Cost for its Dynastic Character? Asks @arunjaitley https://t.co/skcr72PGbQ
21442,"When we make a promise, we deliver. No wonder the Modi government after criticising MNREGA when our government passed it, tried to systematically destroy it but is now claiming its benefits as theirs. They have nothing to show of their own #NyayForIndia https://t.co/HZV4mPRVNb"
21446,@RenukaJain6 @narendramodi Another chowkidaar aunty has lost her sense by started talking on nationalism! Do you think congress does'nt have it who fought 4 d Independence! Did your Modiji or his forefather participated in it as u r selling certificate of nationalism 2 others! Give ur bhashn to Andhbhakts!
21449,"Why, until more details emerge, Congress Partyâ€™s new income scheme for the extreme poor sounds more like an unaffordable jumla to my sceptical mind....

#CutTheClutter with me. Episode 125 

#https://youtu.be/ealTFHYk6j4 via @YouTube"
21452,"Major pol development

Shiela Dikshit may quit @RahulGandhi today itself.

Reason:
@RahulGandhi snubbed her to appease anarchist @ArvindKejriwal .

Rahul, Arvind forged pre-poll alliance.

AAP to contest 4 seats in Delhi, Congress 3."
21455,The producer of the last BJP propaganda film was battling tax fraud charges. The producer of the Modi propaganda film is battling pedophilia and sexual assault charges.... https://t.co/GgefCGSUYB
21465,"Why Rahul Gandhi's Minimum Income Guarantee scheme could be a real game changer for the poorest families of India
@INCIndia @RahulGandhi
@AalimJaveri @INCKLIQ @INCTharoorian @ProfCong @rssurjewala @GeorgekurianINC @AipcKochi @priyankasures @drshamamohd
https://t.co/Ckjp9XfvJl"
21468,"The Congress Party has been out of power for 5 years. Its leaders &amp; workers are accustomed to existing with the frills of office. They are staring at another defeat, and the seeming reason for this is the Dynastic Character of Congress Party."
